time,data,median,LB,UB
3,1,1,1,1
4,18,0,0,12
5,26,0,0,17
6,31,1,0,23
7,27,2,0,29.5
8,29,5,0,38
9,24,9,0,46
10,16,15,1,59
11,42,22,2,74
12,27,32,6,92
13,50,46,11,111
14,71,62,21,138
15,68,83,31,168
16,70,105,46,199
17,76,136,66,240
18,110,170,90,290
19,150,209,118,335.5
20,196,249,148,383
21,268,293,182,437
22,363,339,220,490
23,473,375,249,535
24,563,413,281.5,571
25,734,437,304,608.5
26,478,452,311.5,623
27,518,453,314,620
28,482,443,300,615
29,363,417,282.5,580
30,334,380,248,547
31,275,338,216,489
32,201,292,183,438.5
33,220,249,148,385
34,182,209,119,332
35,166,172,92,286
36,126,141,69,246
37,114,113,50,208
38,99,90,37,177.5
39,101,72,25,153
40,62,57,17,129
41,57,43,10,109
42,42,34,6,97
43,26,25,3,82
44,14,19,1,69
45,6,15,1,65
